,CD14_CD16_monocyte,CD14_monocyte,CD16_monocyte,CD16_NK_cell,Cytotoxic_CD8+_T_cell,Dendritic_cell,Effector_memory_CD8+_T_cell,Megakaryocyte,Memory_B_cell,Memory_CD4+_T_cell,Naive_B_cell,Naive_CD4_T_cell,Naive_CD8+_T_cells,NKT_cell,Regulatory_T_cell
BIN.1247994,0.000108560906527349,0.247965439330776,0.112848804698759,0.000108560906527385,0.000108560906527368,0.000108560906527393,0.000108560906527248,0.000108560908519518,0.0143246699581003,0.0235989281858393,0.000108560906527364,0.00440813131509613,0.218581854844733,0.133258860930973,0.000108560906527374
BIN.1119621,0.122755199706072,0.000155087009324805,0.040459604738921,0.000155087009324818,0.0495251065153317,0.000155087009324804,0.000155087009324687,0.0194765218116987,0.116691962710814,0.000155087009324838,0.000155087009324799,0.000155087009324841,0.192556844077129,0.0408358928700726,0.122243439733651
BIN.409017,0.000108560906527386,0.122530607164274,0.00279201076128374,0.000108560906527363,0.000108560906527346,0.000108560906527365,0.0778840302670859,0.0118570288341848,0.000108560906527368,0.115702606527105,0.000108560906527364,0.127616381576929,0.208444146939706,0.000108560906527367,0.00010856090652738
BIN.1093508,0.000155087009324817,0.157298707122301,0.112933399176343,0.0497477388998071,0.0416107059408888,0.0674511118436605,0.0001550870093248,0.00759358165669857,0.000155087009324799,0.184379933639069,0.000155087009167385,0.000155087009324797,0.000155087009324798,0.000155087009324775,0.000155087009319191
BIN.270637,0.000108560906527362,0.0657654886197439,0.12861487582298,0.00840759776742803,0.0907441315144051,0.000108560906527939,0.000108560906527431,0.00010856090512847,0.000108560906527361,0.00010856090652741,0.0822622570036028,0.24524985832291,0.000108560906527365,0.000108560906527355,0.000108560906527377
BIN.801900,0.000646471078647478,0.15179976898129,0.164686657092322,0.000108560906527381,0.000108560906527373,0.082867795024415,0.000108560906527363,0.00431889801695646,0.000108560906527386,0.241510776296776,0.000108560906527426,0.0216424581282307,0.000108560906527343,0.000108560906527363,0.000108560906527299
BIN.1017035,0.000155087009324803,0.14623712803842,0.171715149409633,0.000155087009324802,0.000155087009324762,0.0668015728741482,0.000155087009324809,0.00926059609931921,0.0477577735037931,0.0875631787143938,0.0372614513988165,0.061136472513836,0.000155087009324805,0.000155087009324785,0.000155087009324651
BIN.1376090,0.00010856090652739,0.032066949551078,0.00438349347714757,0.000108560906527364,0.000108560906527394,0.205748806763026,0.283031241533682,0.00580869926263784,0.000108560906525019,0.000108560906527305,0.000108560906527366,0.000108560906527314,0.106223206581129,0.000131275423149407,0.000108560906526982
BIN.1233813,0.00010856090652735,0.0882958406810162,0.0704230158276568,0.0421193817626716,0.000108560906527359,0.19539142331704,0.0364635446785601,0.000108560906527363,0.00010856090652736,0.0217398517578399,0.000108560906527321,0.0909703497662445,0.119032046524567,0.000108560906527282,0.000108560906527523
